iran ahmad morshedloo s images of people global voices.	ايران احمد مورشيدلو وتصويره للناس الاصوات العالمية
There don't seem to be any problems.	لا يبدو بأن هناك أي مشكلة.
rory williams of the blog carbon copy points to one of the negative effects of the deal struck between china and ghana where china is set to build a mw hydroelectric dam and ghana is to supply china with cocoa massive deforestation rory also includes some poignant facts about the sour end of the deal.	المدون روري وليمز من مدونة انكليزي يشرح لنا الاثار السلبية لعقد ابرم بين الصين وغانا الذي بموجبه سوف تبني الصين سد لتوليد الكهرباء بسعة ميغاوات بالمقابل سوف تلبي غانا احتياجات الصين من الكاكاو مما سيودي الى ازالة الغابات روري ايضا يوفر لنا حقايق عن الجزء الحامض من الاتفاقية
It's not so far.	ليس بعيداً.
Clearly you are mistaken.	من الواضح أنك مخطئ.
The rear-view mirror fell off.	وقعت مرآة الرؤية الخلفية .
in the process we are hoping to learn more about when where and to what extent bloggers are being subjected to abuse in different countries so we can share that information widely with journalists researchers and activists and work towards creating an internet where everyone can exercise their right to speak freely and where bloggers in prison are not forgotten.	ونامل من خلال هذه العملية معرفة المزيد عن متى واين والى اي مدى يتعرض المدونين لسوء المعاملة في مختلف البلدان وحتى نستطيع ان نتبادل المعلومات على نطاق واسع مع الصحفيين والباحثين والناشطين والعمل من اجل خلق شبكة انترنت يمكن للجميع فيها ممارسة حقهم في التحدث بحرية ولا ينسى المدونون القابعون في السجن
as pakistani muslims we need to acknowledge that our fellow citizens have been working in precarious and insecure situations to clean up our waste products and sicken and eventually die as a result of exposure to our shit and piss if our sewerage systems were better planned and maintained we would literally be a happier and healthier nation.	وكمسلمي باكستان يجب علينا ادراك ان رفاقنا المواطنين يعملون في ظروف خطيرة وحرجة لتنظيف مخلفاتنا ليصيبهم المرض وفي النهاية توافيهم المنية كنتيجة لتعرضهم لبولنا وبرازنا في عملهم فلو ان نظام الصرف الصحي لدينا يملك تخطيطا وتنظيما افضل لاصبحنا مجتمعا اكثر صحة وسعادة
At the bottom of the letter he wrote "Kind regards," then signed his name.	كتب "مع أطيب التحيات" في آخر الرسالة ثم وقع اسمه.
I have trouble talking about my feelings.	أواجه صعوبةً في التحدث عن مشاعري.
itamars we went from occupation to it s complicated.	السينمايي عمر شابيرا كتب يقول
according to the un refugee agency unhcr syrian refugees are registered or awaiting registration inside and outside syria more than half of them are under however countless syrian children have been confronted with the anguish of losing their home their belongings and parents the children s rights portal reports.	وفقا للمفوضية السامية بالامم المتحدة لشيون اللاجيين فان هنالك مايقرب من ٦٥٠ ٧٦٤ لاجي سوري تم تسجيلهم او في انتظار تسجيلهم داخل وخارج سوريا اكثر من نصفهم ٥٢٪ تحت سن الثامنة عشرة غير ان هناك عددا لا يحصى ولا يعد ممن يواجهون معاناة فقدان منازلهم ومتعلقاتهم وابايهم تقرير بوابة حقوق الطفل
experts throughout the country fear that decades of war pollution uncharted development and damming mean a water crisis in iraq is imminent.	ويخشى الخبراء في انحاء البلاد ان يكون التلوث والتنمية المجهولة والسدود تعني ان ازمة المياه في العراق باتت وشيكة
nik ahang kosar cartoonist and blogger published a cartoon criticising the government s indifference to people without a home in iran the caption has a homeless man saying homeless people in palestine and lebanon are lucky because iran helps them.	المدون ورسام الكارتون نشر كاريكاتور ينتقد فيع لامبالاة الحكومة تجاه الناس الذين ليس لديهم ماوى في ايران الصورة فيها رجل متشرد يقول ان المتشردين في لبنان وفلسطين محظوظون لان ايران تساعدهم
it is not hard to see why yousfi sees a link between the conduct of police unions and the interior ministry s policies.	كما انه ليس من الصعب فهم العلاقة بين ممارسات النقابات الشرطية وسياسات وزارة الداخلية
You must have the report done by Monday.	يجب أن تتم هذا التقرير قبل يوم الأثنين.
I have a good life now.	لدي حياة جيدة الان
It's a complicated story.	إنّها قصة معقّدة.
Tom didn't know how to ride a bicycle at that time.	توم لم يكن يعلم كيفية ركوب الدراجة الهوائية حينها.
war was men s business and women were not allowed to horn in yet male officers could not help but admire the virile courage of this woman.	كانت الحرب عملا للرجال لا يسمح للنساء الخوض فيها لكن ما كان من الضباط الذكور الا ان يعبروا عن اعجابهم بالشجاعة الرجولية لتلك المراة
ccby by nasa goddard photo and video.	تحت رخصة المشاع الابداعي بواسطة ناسا جودارد للصور والفيديو
Where have you been?	أين كنت؟
algeria third world countries global voices.	الجزاير بلدان العالم الثالث الاصوات العالمية
The old man is very kind.	الرجل العجوز لطيف للغاية.
mehdi khazali source doostaranedrkhazali blogspot com.	المصدر مدونة مهدي خزعلي
you know what if am being honest i don t actually want to go though i am obviously going to go forward with it.	اتعرف؟ انا في الحقيقة لا اريد الذهاب الا انني من الواضح ساتماشى مع الامر
eran amir produced a stop motion video showing people around israel holding up more than developed pictures you ll have to see it twice once to focus on the story told through the black and white pictures the people hold and the other to enjoy watching the people and scenery of israel.	صنع ايرن امير فيديو باسلوب ستوب موشن او توقف الحركة او الصور المتتابعة مظهرا شخص حول اسراييل حاملين بين ايديهم اكثر من صورة محمضة عليك مشاهدة الفيديو مرتين الاولى للتركيز على القصة التي تروى من خلال الصور الابيض والاسود والتي يحملها الناس والاخرى للاستمتاع بالاشخاص انفسهم ومشاهد ومناظر اسراييل
you re known amongst gvers as being cool calm and collected what gets you angry.	انت معروفة بين مدوني الاصوات العالمية على انك مرتاحة هادية ومركزة التفكير ما الذي يدفعك للغضب؟
so register today to be part of a terrific event on july featuring participants from over countries engaged in workshops and conversations about citizen media movements worldwide.	سجلوا اليوم لتصبحوا جزءا من حدث استثنايي رايع يومي و من يوليو تموز يبرز فيه مشاركون من اكثر من بلد يشتركون جميعا في ورش عمل ومحادثات عن اعلام المواطن حول العالم
a few months after the death of blogger and journalist omid reza mir sayafi who died in an iranian prison after allegedly insulting religious leaders a memorial and activism site called march org has been set up to remember him and to hopefully keep this story from repeating itself following the first video created for the march movement or with the motto let the first blogger to die in prison be the last.	بعد اشهر قليلة من مقتل المدون الصحفي امید رضا میرصیافی الذي قتل في السجون الايرانية بعد اتهامه باهانة الزعماء الدينيين انشي موقع كافة الروابط انكليزي كموقع تذكاري ومركز انتشار للناشطين للحفاظ على ذكراه وعلى نشر ماساته بعد ذلك تم تصميم الفيديو الاول لحركة بالتزامن مع الشعار اجعلوا المدون الاول الذي يموت في السجن يكون الاخير
all the numbers are valid and only the mainland chinese police department could get access to such details information meanwhile wen yunchao is based in hong kong with a working visa.	جميع الارقام صحيحة مع الاشارة انه بالعادة وحدها الشرطة الصينية لديها نفاذ على هذه المعلومات في غضون ذلك يعيش وين يونشاو في هونغ كونغ حاملا تاشرة عمل
bahraini journalist reem khalifa appeals to her followers on twitter plz my followers make report spam for a fake account reem khalifah using my pic words articles.	طلبت الصحفية البحرينية ريم خليفة من متابعيها على تويتر اذا سمحتم ابلغوا عن الذي انشا هذا الحساب المزيف ووضع عليه اسمي وصورتي ناشرا كلامي ومقالاتي
What gives you the right to talk to me like that?	من أعطاك الحق بأن تتحدث إلي هكذا؟
I love you.	انا احبك
Will you be home for Christmas?	هل ستكون في البلاد وقت عيد الميلاد؟
Don't say such a thing.	لا تقل شيئاً كهذا.
links courtesy narad.	الروابط من
Is that black bag yours?	هل الحقيبة السوداء لك؟
You can ask him for help.	يمكنك أن تطلب منه أن يساعدك.
Why would we want to do that?	لم سنرغب بعمل ذلك؟
an interesting video interview in spanish es is available in the mexican blog andamos armados.	فيديو مقابلة شيقة متاح على المدونة المكسيكية
Tom got out of the taxi.	خرج توم من التاكسي.
Tell me about your childhood.	أخبرني عن طفولتك.
Do you know who invented the microscope?	هل تعلم من هو مخترع المجهر؟
men who beat women aren t right in the head report it by calling.	الرجال الذين يضربون النساء مختلون عقليا بلغ عنهم بالاتصال على الـ
we re also launching a hashtag gvmeetup to follow along even if you one of these meetups are not scheduled for your city.	سننشي ايضا وسم لمتابعة الموضوع حتى اذا كنتم في مدينة ليست مذكورة اعلاه
Have you done your homework?	هل أنهيت واجباتك؟
Your friend is here.	صديقك هنا.
Croatia is in the southeastern part of Europe.	تقع كرواتيا في الجزء الجنوبي الشرقي من أوروبا.
it s so warm here in germany that we ended up drinking alpen beer instead of gluehwein anyone having a white christmas this year.	الجو دافي في المانيا حتى اننا نشرب بيرة البن بدلا من مشروب النبيذ الساخن هل يستمتع احد بعيد ميلاد مليء بالثلوج واللون الابيض؟
i am not really bitching about the food.	فعليا انا لست اتذمر بسبب الطعام
The world has become a dangerous place for tourists.	أصبح العالم مكاناً خطراً للسياح.
It may rain.	من الممكن أن تمطر.
I'm wasting my time.	أنا أضيع وقتي.
a km human chain outside nile university photo shared by kandily on twitter.	سلسلة بشرية بطول كيلو ونصف امام جامعة النيل نشر الصورة على تويتر
sahel region million children at risk of malnutrition global voices.	منطقة الساحل مليون طفل معرضون للاصابة بسوء التغذية الاصوات العالمية
the candid footage helped undermine medvedev s public image not a difficult feat and his time as president ended within a year.	وساهم الفيديو في النيل من هيبة ميدفيديف رغم ان ذلك لم يكن بالامر العسير حيث انتهت ولايته الرياسية في ظرف سنة من نشره
dear bloggers.	اعزايي المدونين
mana neyastani did not forget politics in his cartoon on pollution grandfather says it s morning again and i should wake up all this bad news executions prison grandfather takes a deep breath to start his day and falls down beside a journal with the headline deadly pollution of tehran s air.	ولم ينس مانا نياستاني السياسة في الكاريكاتير الخاص به حول التلوث يقول الجد انه يوم جديد ويجب ان استيقظ كل هذه الانباء السيية اعدام سجن وياخذ الجد نفسا عميقا ليبدا يومه فيسقط بجانب جريدة تحمل العنوان تلوث الهواء المميت بطهران
You can always sleep on my couch.	أنتَ يمكنكَ دائماً النوم على أريكتي.
I will wait for you in front of the school.	سأنتظرك أمام المدرسة.
Yoga comes from India.	جاءت اليوغا من الهند.
dimitrisbounias greek media report dendias in parliament i will sue guardian on behalf of the greek state for defamation of our democracy.	في تقرير لوسايل اللاعلام اليونانية في البرلمان انا ساقاضي صحيفة الجارديان نيابة عن الدولة اليونانية لقيامها بتشويه صورة الديمقراطية عندنا
angola armament compared with brazil and israel global voices.	انجولا مقارنة تسليح البرازيل واسراييل الاصوات العالمية
I will be there tomorrow.	سأكون هناك غداً.
china reactions to india s poor and homeless global voices.	الصين ردود الافعال تجاه فقراء ومشردي الهند الاصوات العالمية
underneath the aba you can wear any color you wish but for the veil which goes over and around your head it should be harmonious with the color of your aba you should also wear only black sandals with your black aba with other colors of clothes you can wear different shoes of different colors.	تحت العباءة يمكن ان ترتدي اي لون تحبه ولكن بالنسبة للحجاب الذي ترتديه على راسك يجب ان يكون متناسقا مع لون عباءتك كما عليك ان ترتدي احذية سوداء مع العباءة السوداء مع الثياب الملونة يمكن ارتداء احذية اخرى بالوان اخرى
I have to find it.	عليّ العثور عليها.
Tom's strict.	إن توم شديد.
jmf do you consider yourself a caribbean filmmaker.	جاينين مينديس فرانكو هل تعتبرين نفسك صانعة افلام كاريبيه ؟
rising voices seeks project proposals that share our mission of bringing voices from new communities as well as underrepresented language groups to the online global conversation through the use of participatory citizen media the project s primary activities should be to provide citizen media training workshops to the target community as well vital ongoing support and mentoring please see our roster of current and alumni grantee projects for examples of previously funded projects.	تبحث الاصوات الصاعدة عن مقترحات لمشاريع تشترك مع مهمتها لجلب اصوات من المجتمعات الجديدة وكذلك المجتمعات اللغوية والغير ممثلة تمثيلا جيدا الى الحوار العالمي على الانترنت من خلال استخدام وسايل اعلام المواطن وينبغي ان يكون نشاط المشاريع الرييسي هو توفير ورش عمل لتدريب المجتمع المستهدف على وسايل اعلام المواطن فضلا عن الدعم والتوجيه المستمر للمشاركين الرجاء مراجعة قايمة مشاريعنا الحالية الحايزة على المنح والمشاريع السابقة للحصول على امثلة للمشاريع الممولة من قبل
as part of our collaboration with syria deeply we are cross posting a series of articles that capture civilian voices caught in the crossfire along with perspectives on the conflict from writers around the world.	كجزء من تعاوننا مع سوريا في العمق نتابع نشر سلسلة من المقالات التي تلتقط اصوات المدنيين على خط النار جنبا الى جنب مع وجهات نظر حول الصراع لعدد من الكتاب حول العالم
folk dance rehearsal photo by carmen helena gonzalez used with permission.	بروفة رقص فلكلوري تصوير كارمن هيلينا جونزاليز استخدمت الصورة بتصريح
Where is Tom?	أين توم؟
I want more.	أريد المزيد
Every house had a garden.	كان لكل بيت حديقة.
in latin america street art is of major cultural relevance the region s traditions of social movements and revolution have allowed the form to give voice to otherwise unheard sectors of the population of course not all street art is politically or socially oriented in content but it does often provide insight into specific objectives and ideals.	يكتسب فن الشارع في امريكا اللاتينيةاهمية ثقافية كبرى فقد اثرت الحركات الاجتماعية والثورية في المنطقة باعطاء صوت للقطاعات الغير مسموعة من السكان بالطبع ليس كل فن الشارع سياسي او اجتماعي المنحى في المحتوى لكنه كثيرا ما يحدد نظرة هادفة ومثالية سامية
banner calling for the release of alaa abd el fattah and bassel safadi former participants at the arab bloggers meeting.	لافتة تدعو للافراج عن علاء عبد الفتاح وباسل الصفدي المشاركين السابقين في اجتماع المدونين العرب
this event was organized by bloggers and most of the questions were read by two iranian bloggers hanif manzori and somayeh tohidloo internet users used different tools such as twitter facebook email and yahoo messenger to submit their questions we also can read reactions to khatami s interview via friendfeed.	هذا الحدث تم تنظيمه بواسطة مدونين كما وتمت قراءة معظم الاسيلة بواسطة مدونيين ايرانيين هما حنيف منزوري و سمية توهيدلوز استعمل مستخدمو الانترنت وسايل مختلفة كتويتر وفيس بوك والبريد الالكتروني والياهو مسنجر للادلاء باسيلتهم ويمكن قراءة ردود الفعل على مقابلة خاتمي على موقع فريند فيد
Don't worry. You can count on me.	لا تقلق. يمكنك الإعتماد علي.
babak uses old postcards from freetown sierra leone to compare what was then to what is now the series of once salone freeown s then and now is a photography project that sent him sometimes to the most unlikely places to identify the locations.	يستخدم باباك بطاقات بريدية قديمة لمدينة فريتاون سيراليون لمقارنة ما كانت عليه المدينة فيما مضى بما هي عليه الان سلسلة فريتاون قديما وحديثا مشروع تصوير ياخذه احيانا الى اماكن غير محتملة لتحديد المواقع
egyptians vow to return on april.	المصريون يتعهدون العودة يوم ابريل نيسان
dear world.	اعزاينا القراء في جميع انحاء العالم
in belong different immigrants in finland discuss their experience in living away from their homelands and what are the things that make them feel that they belong in their new home.	في الانتماء يناقش العديد من المهاجرين في فنلندا خبراتهم في الحياة بعديا عن اوطانهم وما هي الاشياء التي تجعلهم يشعرون بانهم ينتمون الى وطنهم الجديد
I'm not your slave.	أنا لست عبدك.
I knit every day.	أحيك كل يوم.
nevertheless the south korean government has insisted on carrying out the project on march the south korean navy together with the construction company samsung corporation started blasting out rock foundations in the coastline by the next day hundreds of activists had arrived on the island to stop the navy from blowing up the coastline further for the construction of the docks many have been arrested.	رغم ذلك اصرت الحكومة الكورية على المضي قدما بهذا المشروع في السابع من مارس اذار بدات البحرية الكورية الجنوبية بالتعاون مع شركة سامسونج للانشاءات بتفجير الاساسات الصخرية في الشريط الساحلي مع حلول اليوم التالي وصل ميات الناشطين الى الجزيرة بهدف منع البحرية من القيام بالمزيد من التفجيرات في الشريط الساحلي لانشاء مراسي للسفن اعتقل كثير منهم اثر ذلك جميع الروابط باللغة الانجليزية
My father gave me a game.	أعطاني أبي لعبةً.
however we should be conscious about the act of sending out information to others and remind ourselves to be critical about the information we receive it is important to have this kind of attitude when using social media especially in a time like this when information can be shared with a single click i consider this to be the first step to prevent social media from entering into darkness.	ولكن يجب ان نكون على قدر من الوعي اثناء قيامنا بنشر المعلومات يجب ان نذكر انفسنا بضرورة نقد المعلومات التي تصلنا يجب ان يكون هذا هو سلوكنا اثناء استخدامنا للشبكات الاجتماعية خاصة في هذا الزمن الذي يمكننا نشر اي معلومة بضغطة واحدة اعتبر هذه اولي خطوات منع اتساع الجانب المظلم للشبكات الاجتماعية
jordan fairoz in concert global voices.	الاردن حفلة فيروز الاصوات العالمية
the middle east needs the birth of a really peaceful policy for everyone to live in peace while israel is counting the years since it was born others are counting the deaths it has inflicted on the palestinians making the two sides look like tom and jerry they can t feel at ease without playing cat and mouse just for the fun of it or by being serious about it.	الشرق الاوسط يحتاج الى ولادة سياسة سلمية لكي يعيش الجميع في سلام بينما تعد اسراييل السنوات منذ ولادتها يقوم الاخرون باحصاء الوفيات التي انزلتها في الفلسطينيين مما يجعل الطرفين يبدوان كـ توم وجيري لا يستطيعون الشعور بالراحة ان لم يلعبوا لعبة القط والفار للمتعة فقط او بجدية
tommy edison usually goes to the movie theater for the films he reviews but he also watches dvds at home however setting up a dvd player that was sold to him as accessible proves to be a bit more complicated than he thought although the dvd player instructions come in a multiplicity of languages they don t include braille so learning to use his new equipment is more than a bit challenging.	عادة ما يذهب طومي ايديسون الى دار العرض للفيلم الذي ينقده لكنه يشاهد ايضا الدي في دي في المنزل مع ذلك يعد اعداد مشغل الدي في دي والذي تم بيعه له على انه سهل اثبت انه معقد اكثر مما كان يعتقد على الرغم من ان تعليمات مشغل الدي في دي تاتي باكثر من لغة لا تتضمن طريقة برايل للقراءة لذلك يعد تعلم استخدام جهازه الجديد تحدي كبير نوعا ما
fonzy from kuwait calls upon parents to get children off the streets where accidents are waiting to happen.	ينادي المدون فرونزي انكليزي من الكويت على الاهالي ان يستدرجوا اطفالهم من الشوارع حيث تنتظر الحوادث للوقوع
What choice did I have?	أي خيار كان لدي؟
The Internet is an invaluable source of information.	الإنترنت مصدرُ معلوماتٍ لا يقدر بثمن.
When are you going to quit smoking?	متى ستقلع عن التدخين؟
philinthe banks petrol stations closed in bamako mali talking to taxi drivers who are asking double their normal price sotrama still cfa.	لقد اغلقت المصارف ومحطات الوقود في باماكو اناقش سايقي سيارات الاجرة الذين يطلبون ضعف الاجرة المعتادة ما زلت اجرة الستورما الحافلة الصغيرة سيفا فرنك الاتحاد المالي الافريقي
land is a right.	الارض حق
I'll decide.	سأقرر.
I'm one of the good guys.	أنا أحد الرجال الصالحين.
with full cooperation from the country s social media and e commerce platforms this system enables china s top security authorities to extend their grasp on citizens data and make deft calculations concerning the political inclinations of any individual who participates in public life both online and off.	ونظرا للتعاون الكامل من قبل مواقع التواصل الاجتماعي ومواقع التجارة الالكترونية فان هذا النظام يمكن السلطات العليا في البلاد باحكام قبضتها على بيانات المواطنين ومعرفة الميول السياسية لكل فرد يشارك في الحياة العامة على ارض الواقع او عبر شبكة الانترنت
christmas tree decorated by thalia s mom.	والدة تاليا زينت شجرة عيد الميلاد
and here people chanted moussavi take back my vote.	وهنا يهتف الناس موسوي ارجع لي صوتي
Those students are Korean.	هؤلاء الطلاب كورييون.
we re delighted to announce the global voices citizen media summit our gathering takes place this year in nairobi kenya on july in partnership with nairobi s ihub.	يسرنا الاعلان عن موتمر قمة الاصوات العالمية لعام يقام الموتمر هذا العام في نيروبي كينا يومي و من شهر يوليو تموز بالشراكة مع اي هاب نيروبي
blogging isn t what it used to be but there s still loads of content made by bloggers that finds its way onto the internet today in fact tools like medium have revitalized blogging even as this form of writing has lost its novelty across the world another thing the internet seems to have lost is the tradition of celebrating blog day which technically occurs every august.	لم يعد التدوين كما كان سابقا لكن الكثير من الافكار التي يكتبها المدونون وجدت طريقها اليوم الى عالم الانترنت وقد ساهمت ادوات مثل ميديم باحياء التدوين في الوقت الذي فقد فيه هذا الشكل من الكتابة حداثته في جميع انحاء العالم ويبدو ان الانترنت قد تخلى عن طريقة احتفاله باليوم العالمي للمدونة الذي يحدث كل من شهر اغسطس اب
to get our angst and thoughts out every wednesday from october to november four global voices contributors will get together and talk about the latest news coming out of the us elections what people outside the us think and how our american contributors who travel around the world and are familiar with political processes in other countries feel about this election.	سيشارك اربعة من مساهمي الاصوات العالمية افكارهم كل اربعاء بداية من يوم اكتوبر تشرين الاول الى نوفمبر تشرين الثاني وسنناقش اخر اخبار الانتخابات الامريكية وروية الناس خارج الولايات المتحدة وداخلها والذين يسافرون حول العالم بالنسبة للعملية السياسية وهل هي مختلفة عن بقية الدول؟
e algeria a digitisation programme launched in the country years ago turned out to be a fiasco g was heralded years ago not to mention that public administration lacks any web presence.	انطلق برنامج للرقمنة منذ اعوام و قلما يقال عنه انه فاشل اما ملف الـ فقد اعلن عنه ايضا منذ سنوات وما زلنا على الوعد يا كمون ناهيك عن ذكر ان الويب غايب تماما في الادارات الرسمية
africa vloggers bloggers and movies global voices.	افريقيا فيديوهات وافلام الاصوات العالمية
caeo with perseverance and effort you can succeed don t let the prejudices get to you at least not before giving the job a fair shot.	كايو تستطيعون النجاح بالجهد والمثابرة لا تدعوا تعصب الاخرين يوثر عليكم على الاقل ليس قبل ان تعطوا انفسكم فرصة عادلة لتجربة الوظيفة
We were late because of the storm.	تأخرنا بسبب العاصفة.
the feature photo in this story is a screenshot from the popular mobile game fighting crime.	صورة الواجهة في هذه القصة هي لقطة من تطبيق لعبة الهاتف الجوال الشهيرة
when detainees are released they carry a heavy stigma and harsh experiences in jail hardly contribute to rehabilitation but with the proper incentive and inspiration detainees may find options of new paths to rebuild their lives.	عند اطلاق سراح المحتجزين يحملون وصمة عار وتجربة مريعة ومولمة في السجن ونادرا ما يتقدمون الى مراكز اعادة التاهيل لكن مع الحافز اللايق والالهام ربما يجد المذنبون مسار جديد لاعادة بناء حياتهم
I'm sitting alone in my house.	أجلس وحيداً في بيتي.
careem makes me feel safe because the drivers respect us and make us feel comfortable and they do not complain if there is traffic on the way.	كريم يشعرني بالامان لان السايقين يحترموننا ولا يتذمرون عند وجود ازدحام
I need first aid.	أحتاج إلى إسعافات أولية.
guatemala photos of lent processions in antigua global voices.	جواتيمالا زياح الصوم في انتيجوا الاصوات العالمية
It looks like an apple.	تبدو كتفاحة.
What is that huge building?	ما ذاك المبنى الضخم؟
Waking up is the opposite of going to sleep.	الإستيقاظ ضد النوم.
the leading cause of death in developing countries might surprise you global voices.	السبب الرييسي للوفاة في البلدان النامية قد يفاجيكم الاصوات العالمية
Feel free to get yourself a drink if you are thirsty.	لا تتردد في أخذ مشروب لنفسك إن كنت عطشانًا.
the young woman speaks briefly to the president whose vehicle is surrounded by onlookers meanwhile an old man also tries to approach ahmadinejad he cries out ahmadinejad i am hungry ahmadinejad i am hungry ahmadinejad keeps smiling and waving as he peers out from the sunroof of the car.	تحدثت الشابة مع الرييس لبرهة من الزمن في الوقت الذي كان يحيط بسيارته العديد من المتفرجين في الغضون حاول عجوز ايضا الاقتراب من نجاد وصرخ احمدي نجاد انا جايع احمدي نجاد انا جايع تابع احمدي نجاد الابتسام والتلويح بيديه من على فتحة السقف للسيارة
The nurse took his temperature.	قاست الممرضة حرارته.
next issue is our hero going to cope with his five minutes of fame how is he going manage now that his powers have been discovered.	القضية التالية هي هل سيستطيع بطلنا التعامل مع خمس دقايق من الشهرة؟ وكيف سيتصرف عندما يعلم انه تم اكتشاف قدراته؟
We'll talk about it tomorrow.	سنتحدث حول ذلك غداً.
I told you the truth when I told you I loved you.	أخبرتك بالحقيقة عندما بُحت بحبي لك.
Do you remember the town where he was born?	هل تذكر المدينة الذي ولد بها؟
jame asr hassanil bolkiah mosque brunei.	جامع عصر حسن بلقية بروناي
however amid the cold and white some used the snow to create beautiful fun and sometimes strange artwork rocketnews has compiled photos that were taken and shared by japanese twitter users.	ومع ذلك ووسط البرودة والبياض استخدم البعض الثلوج لتنفيذ اعمال فنية جميلة ممتعة وغريبة في بعض الاحيان جمعت بالانجليزية الصور التي التقطها ونشرها مستخدمي تويتر اليابانيين
but they all look at me strangely when i say i love it.	لكن الاخرين ينظرون لي باستغراب عندما اقول انني احبه
Can you show me another room?	هل تستطيع أن تريني غرفة أخرى؟
Speak clearly.	تكلم بوضوح.
I'll see you tomorrow.	أراك غداً.
I tried to cheer him up.	حاولت رفع معنوياته.
A tea with lemon, please.	شاي بالليمون، لو سمحت.
the project already has a facebook account through which it shares photographs other social network accounts and a blog which will help to share the project around the world are currently under construction.	للمشروع حساب على فيسبوك لتشارك الصور وستساعد الحسابات الاخرى على وسايل الاعلام الاجتماعية ومدونة المشروع قيد الانشاء حاليا في تشارك المشروع مع العالم اجمع
I wasn't trying to hurt anybody.	لم أكن أحاول إيذاء أحد.
She is well known both in Japan and in America.	إنها مشهورة في اليابان وأمريكا أيضًا.
creative commons licensed photo by john sonderman.	الصور من
The dragon is an imaginary creature.	التنين حيوان خرافي.
user rogiros compared el ert s director aimilios liatsos to italian president silvio berlusconi.	يقارن المستخدم روجيروس رييس التليفزيون العام اليوناني ايمليوس لاتسوس بالرييس الايطالي سيلفيو بيرلسكوني
I found the hotel crowded with foreign tourists.	لقد وجدت الفندق مزدحم بالسياح الاجانب .
This movie is worth seeing again.	هذا الفلم يستحق المشاهدة لمرة ثانية.
Your necktie matches your suit.	ربطة عنقك تليق ببزتك.
An old lady sang to me.	غنت لي امراة عجوز.
The bridge is about to collapse.	يوشك الجسر على الانهيار.
I want something sweet.	أريد شيئاً حلواً.
one of the featured guests on the podcast kevin scannell was interviewed by host jamillah knowles about his work with the project indigenous tweets and some of the challenges facing underrepresented language communities here is the extended version of the interview which can be found on global voices soundcloud page.	احد المشاريع التي ذكرت في هذا الحوار كان كيفن سكاننيل الذي استضافته جميلة نولز مشاركة الاصوات العالمية التي ادارت الحوار وذلك عن عمله في مشروع التوييتات باللغات النادرة وبعض التحديات التي تواجه المجتمعات المتحدثة باللغات الغير ممثلة يوجد الحوار بالكامل على حساب الاصوات العالمية على موقع
joshua landis links to reports about a coup plot against syrian president bashar al assad that was quietly crushed without the world noticing in syria comment.	المدون جوشوا لاندس يضع وصلة لتقرير حول موامرة انقلاب ضد الرييس السوري بشار الاسد تم احباطها بشكل سري ومن دون اي اثر
sharing photos of the afghanistan you never see global voices.	صور لافغانستان التي لم تروها من قبل الاصوات العالمية
She likes animals, you know?	لعلمك، إنها تحب الحيوانات.
I know what I like.	أنا أعلم ما أحب
marietje schaake member of european parliament tells her k followers on twitter.	الشريك الاستراتيجي السعودية تجلد المدون رايف البداوي اليوم من المرجح ان يودي الحكم لاصابات شديدة بربرية
I saw a fox run across the road just now.	رأيت ثعلبًا يقطع الطريق للتو.
a woman painting a tent at the main protest grounds in kyiv photo by the creator of facebook page maidaners used with permission.	العديد من الابداعات الفنية كانت حاضرة ايضا مع المتظاهرين يلونون اللافتات والقبعات والخيم
child arrives at a gaza hospital for treatment uploaded by twitter user thisisgaza on august.	وصول طفلة الى مستشفى غزة لتلقي العلاج نشرت بواسطة مستخدم تويتر في اب اغسطس
I've worked here for many years.	لقد عملت هنا لسنوات عديدة.
in other icann news outgoing ceo rod beckstrom said goodbye and reports emerged that at least some of google s applications for new top level domains are expected to be turned down the process for awarding top level domains has been full of glitches and subject to criticism but continues to move ahead.	وفي خبر اخر عن ايكان ودع الرييس التنفيذي للشركة رود بيكستروم لانتهاء فترته وظهرت تقارير تفيد بانه من المتوقع ان يتم رفض ما لا يقل عن بعض من تطبيقات جوجل لنطاقات المستوى الاعلى الجديدة وعملية المنح للنطاقات محفوفة بالخلل ومعرضة للنقد وبالرغم من ذلك كله هي في طرقها للمضي قدما
She walks.	هي تمشي
post video and audio clips expressing your support.	انشر على الاعلام الاجتماعي عن معاناة المراة السعودية
careem is a company and every driver is an employee who follows rules and regulations and is confronted by the company in case the driver breaks said rules this makes me feel safer knowing that if the driver commits an unauthorized act he will be questioned and i will receive compensation.	كريم شركة جميع سايقيها موظفون يتبعون قوانين ولوايح محددة ويتعرضون للمسايلة عند خرق اي من هذه القوانين معرفتي بذلك تشعرني بالامان خاصة انه في حال ارتكاب السايق لاي عمل يتعارض مع اللوايح فسيتعرض للمسايلة وسيتم تعويضي
I'm in love with you and I want to marry you.	أحبك و أريد أن أتزوجك.
iran blogging against homophobia global voices.	ايران التدوين ضد رهاب المثلية الجنسية الاصوات العالمية
How do you feel about that now?	ما رأيك في ذلك الآن؟
It'll turn up.	سيتم الامر
She cooked the dinner herself.	أعدت العشاء بنفسها.
Turn off the sprinklers.	أقفل المرشّات.
Take a look at that.	انظر إلى ذلك
